Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm_FlatTop,9,LED,
"D10, D11, D12",D_A-405_P7.62mm_Horizontal-SIGNAL,3,D,
J1,IDC-Header_2x07_P2.54mm_Vertical,1,Conn_02x07_Top_Bottom,
M1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Motor_DC,
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,R,
RV1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,RUD TRIM,
SW1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,FCS RESET BTN,
SW2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,TO TRIM BTN,
SW3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,GAIN SWITCH,
