Designator,Mid X,Mid Y,Rotation,Layer
J1,79.298759,-51.257162,160.0,bottom
J3,90.371396,-38.334152,70.0,bottom
J4,106.55305,-40.309828,160.0,bottom
M1,97.2272,-57.321502,20.0,top
